"Nível 1","Nível 2","Nível 3","Nível 4","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024"
"Vegetação Herbácea e Arbustiva","Afloramento Rochoso","","","1654486.5254213475","1653866.5897744116","1653922.3888670024","1653955.578194672","1654288.389900951","1655546.4111866695","1656219.3761246693","1655579.6029333803","1655634.2270228881","1654648.7113235798","1654596.732839362","1654867.9199149532","1655227.727660163","1656028.5002332139","1657297.969992466","1658482.596630439","1659942.6509671572","1661138.6900078345","1661443.1910637254","1661515.1397929157","1661683.5093846691","1661151.685248657","1660351.610801081","1659031.3768735959","1658585.5675575556","1658229.4904444665","1657947.1786879785","1657646.786265847","1657930.5192254467","1659462.9169783792","1660404.2366491798","1660897.5555961428","1661030.1469857472","1661655.2225466187","1662427.5800664092","1662719.3934017813","1663240.128408732","1664608.0132302581","1668135.6114149033","1676655.85156886"
"Vegetação Herbácea e Arbustiva","Apicum","","","74229.80356279877","74328.63206104096","74259.97908184785","75010.54700347855","71548.4220830317","70417.48925147654","69932.92822369303","70095.23761096133","72277.80375080506","73017.41549981624","72613.09680568175","71424.08002410817","71273.9770454705","73377.05830449145","74414.3426219231","76026.49525439998","75851.10662310141","74904.35137772799","74188.32046000967","73964.60780666498","74389.2748421019","74675.6896749937","73699.16646979346","71758.14362952254","71301.86636209683","71083.6589119928","69009.90157237493","65630.9882062434","63328.427646056676","61769.33392576847","61267.39304558061","61377.195885094945","60563.19243670642","59022.29113128042","56976.38568186599","55872.75624829668","55541.137725609966","54295.08810983854","52930.980236413154","52650.17242678183"
"Agropecuária","","","","164244647.59445578","167479425.76697886","171938065.2462774","175678913.77412736","178952758.2477647","181932581.91645843","185096203.14056122","189045930.62432408","192772397.7131383","196283521.614604","200476355.05384976","204307092.87966573","207780844.9442094","211544392.77121013","215091060.96526656","217978046.5057052","220988912.57456344","224046060.49737358","228375267.56137347","232393424.92498004","235618538.8362281","238063007.59671336","239942301.2951367","241942721.30738905","243211279.9187414","244306129.68121564","245464179.98619807","247043284.16216218","249084389.0711829","250733596.7510333","252551816.33854145","254028839.10556644","255258881.38015372","256320159.26005995","258538213.52448368","260832746.1251412","263853759.66394794","267037820.1092786","270561456.01026726","273169328.8749339"
"Agropecuária","Agricultura","","","18627705.113278653","19120122.387363106","20747901.52360314","22220312.157429647","23709542.6378996","25403309.513141274","27474770.314725373","28178790.083287917","29201725.462766048","30047359.518203434","30787044.214643598","31683492.471686568","32240488.215872142","32821581.654328905","33797996.05521543","34852722.35313233","36021149.28166","36989135.94723338","37811039.97724237","39801666.32196211","41788827.20875171","43768139.71546966","45335193.789096974","46759997.05580047","47951866.921275616","48939818.75030825","49643711.918775745","50748742.80214563","52765806.98562446","54937381.67901029","56900636.30026868","58425782.89706845","60075393.35075121","60626388.12005519","61361258.265810706","62102118.03749804","62415315.84283675","62642379.927466854","62679209.58576813","62663109.35103244"
"Agropecuária","Agricultura","Lavoura Perene","","790113.1833066314","887715.7429072872","845240.223883703","830659.6820167198","832036.9529201662","806628.9277336487","765146.8040784589","756250.6839211484","787445.7439600327","832109.3599075886","876207.7929191354","902933.041935866","929577.3127863603","974461.574403942","1136012.6880433892","1267808.768480575","1322405.5943549632","1359560.2896765198","1373890.993442234","1450903.9423962818","1504048.2280978118","1548669.6813409664","1592737.4911990385","1617841.0978231356","1648675.752745916","1705460.725155835","1794697.935867026","1874393.316973851","2041940.3170211236","2122297.1691563204","2231674.1796948505","2264071.3947082","2281532.8602302526","2303815.7594584003","2369706.1595632634","2446440.7438408574","2457951.8026237106","2441482.077367858","2443312.6577257887","2447875.9008105546"
"Agropecuária","Agricultura","Lavoura Perene","Outras Lavouras Perenes","180568.4193060668","186429.66446736414","125180.26363829315","96278.16609768047","99190.7096479424","93208.31351294515","90448.10811905455","97010.91713557713","104995.07655323528","120236.11799259727","129545.37283154347","138211.08335991472","145345.3735877583","156805.22814545495","217940.73064716297","244847.65374053016","267598.0962036337","282144.58984933165","295464.1098131122","314551.9354841445","338899.29904073884","356023.61666813376","375543.06464296073","397848.14381220704","418298.4026703288","422983.33401298185","429469.3677033456","434594.2662991563","444742.16767297126","437127.899018131","453400.1338900131","456785.0431373032","461650.8539852628","472147.4201673468","518029.63965040224","576182.4352636271","575944.3458537891","572443.0692000214","571954.3641252349","570679.173959908"
"Agropecuária","Agricultura","Lavoura Perene","Café","494492.22178526904","594428.6214942505","619661.9699869072","630082.41555677","626652.539868359","599860.1609498162","562120.5340887906","541602.3510239414","544054.8497177815","544653.2197326117","560393.3667443049","571586.2885966783","578421.320441321","599984.0170381117","675315.4042365801","751098.5587151787","774971.1257721002","779215.6722553083","767228.6239811202","800846.828532961","814072.592093828","834757.9625429992","847795.352212812","853524.4888472954","859847.175645589","887469.7644692903","945227.0826008631","1006514.5679029952","1092327.866212032","1154150.760036083","1204724.2978869823","1209354.5698057194","1205074.871738741","1207404.7657905663","1224426.0100703887","1238148.9817165935","1243836.992914705","1235180.789522179","1237932.3820786392","1237621.765681259"
"Agropecuária","Agricultura","Lavoura Perene","Citrus","100243.2868644838","82843.9277659974","70469.27775372363","72819.87482585521","72840.7446761239","75788.61928039597","75175.63515936986","79331.7311569959","96484.88996183536","119389.89165869645","130340.69263060762","139349.04160234152","151314.19560244525","157115.939652467","179279.93032895128","203973.59674525767","209607.1765260315","228028.91040000043","236500.59951405643","257374.38634632388","269986.2925800509","276122.07532457483","284089.08756123186","281252.8395218343","279591.4175699981","293503.0648715112","311600.52960623486","323883.686166472","349220.55550671637","359143.5322391563","374500.1867478235","386718.53671469283","391081.07793186314","389784.9853806664","395357.3021776882","396454.2864124417","398630.85583742935","392092.47180987115","391574.67744239053","397740.336608675"
"Agropecuária","Agricultura","Lavoura Perene","Dendê","14809.255350811782","24013.529179675203","29928.712504778938","31479.22553641405","33352.95872774081","37771.83399049138","37402.52671124384","38305.684604634014","41910.927727180475","47830.130523683205","55928.360712679474","53786.6283769314","54496.423154835655","60556.38956790838","63476.62283069486","67888.95927960837","70229.1958531978","70171.11717187957","74697.6601339451","78130.79203285233","81090.04438319408","81766.02680525836","85309.98678203402","85215.62564179902","90938.75685999976","101504.56180205179","108400.95595658239","109400.7966052274","155649.72762940393","171874.9778629503","199049.561170032","211213.24505048434","223726.05657438547","234478.58811982075","231893.20766478436","235655.04044819527","239539.6080177868","241765.7468357864","241851.23407952386","241834.62456071278"
"Agropecuária","Agricultura","Lavoura Temporária","","17837591.929972023","18232406.64445582","19902661.299719438","21389652.475412928","22877505.684979435","24596680.585407626","26709623.510646913","27422539.39936677","28414279.718806013","29215250.158295844","29910836.42172446","30780559.429750703","31310910.903085783","31847120.079924963","32661983.367172047","33584913.58465175","34698743.68730503","35629575.65755686","36437148.983800136","38350762.37956583","40284778.9806539","42219470.03412869","43742456.297897935","45142155.95797733","46303191.1685297","47234358.025152415","47849013.98290872","48874349.48517178","50723866.66860334","52815084.50985397","54668962.120573826","56161711.50236025","57793860.490520954","58322572.36059679","58991552.10624744","59655677.29365718","59957364.04021304","60200897.850099","60235896.928042345","60215233.45022189"
"Agropecuária","Agricultura","Lavoura Temporária","Arroz","385025.8203112592","337489.9675620888","456325.57920306176","478541.1403799287","400208.6548818548","265459.4623847946","200916.20775596827","318018.598332899","477610.7573335827","231562.2446672411","256999.07204601794","299634.26522380917","515445.79984795325","316771.51503588876","590249.7143363891","697933.7044667535","558839.2144713502","540317.0210104248","408538.8559084963","658015.4444628207","717515.9733377625","705688.5344927286","823298.6501873727","720724.2554313147","932591.9072660208","806088.1224993716","687119.1450330596","699782.4992254361","547010.6796192806","866328.0186526433","1089250.1777415143","1139926.579239175","1224394.563009515","1224901.5328266914","1241651.8095865154","1249406.6676335766","1349700.8756337694","1448329.63633158","1301523.4480595621","1126243.599038787"
"Agropecuária","Agricultura","Lavoura Temporária","Soja","4488280.364081866","6485236.175105892","8425216.89492335","9663315.822349217","9994557.162798705","10560646.104264664","10949229.943981336","11045732.04194376","11469296.579127839","12131192.986105593","12422650.96045652","12710906.66088108","12836750.330735419","13194186.03654196","14284250.125750994","15998219.724307153","16020246.241561696","17392391.732095357","18443251.53274119","19992227.022215206","22352322.105774753","22987962.446875654","23037773.68966723","22453138.890855026","23119218.2965893","24406370.848290842","24695805.302051414","25895295.68825998","26331608.258488335","28271884.54334702","30734043.871673476","32404683.93005536","34764508.9849514","35795714.762091026","36589037.54192531","37021177.23752081","38010377.996257186","39203694.29859993","39801891.81435956","40727267.93892077"
"Agropecuária","Agricultura","Lavoura Temporária","Cana","2153480.731070721","2303577.1022769134","2452526.4687553006","2702092.660418873","2907428.0524200783","3056565.696546457","3205586.4541292298","3350704.1222656504","3617204.051691336","3783244.3930829717","3938169.366807312","4167301.240141091","4290559.992864983","4338015.503703048","4438364.207734728","4471962.592709214","4511340.223218817","4823172.701215982","5086167.400906916","5400662.895628799","5696228.949385329","6046170.426120237","6737931.00974785","7696806.53037134","8308450.5981566785","8594044.941033455","8875397.847996285","9242627.599498738","9782799.124924093","10255550.293981481","10525057.32827061","10635444.998966847","10677986.9798627","10662086.150483407","10533413.415544057","10597799.880312685","10513684.659447625","10520410.015333103","10287711.307672704","10080445.115064409"
"Agropecuária","Agricultura","Lavoura Temporária","Algodão","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","9195.339433831876","28891.07483724925","82663.67810111599","37659.96410731802","52516.66343018201","70566.54527268646","108444.64369573959","142376.2808856205","167009.66240354002","152503.14986516637","131902.08745326448","155457.00951877004","125560.99310488778","55157.5190879632","108000.8916145204","128776.13976070618","84496.11112964591","118545.52691079667","136078.36186299915","102192.63633739512","193529.66145147794","219854.0255471206","260080.89177840928","263951.62947723083","157200.3357244328"
"Agropecuária","Agricultura","Lavoura Temporária","Outras Lavouras Temporárias","10810805.014508175","9106103.399510924","8568592.356837723","8545702.852264907","9575311.814878797","10714009.322211713","12353890.904780379","12708084.63682446","12850168.330653254","13069250.534440037","13293017.02241461","13602717.263504725","13668154.779637426","13998147.024644068","13349119.319349935","12407602.223734802","13579426.93321592","12791030.525133979","12461531.230136212","12247340.353828823","11448145.406883363","12371203.98294433","13001076.667409856","14104476.618916119","13790427.21665253","13295952.02587549","13435234.678309187","12911082.705082731","14007291.086483665","13313320.762258308","12191834.603127522","11897159.882969217","11008424.435786542","10503791.553332666","10525256.702854168","10593763.846738627","9863746.483327346","8768383.008055978","8580818.728473289","8124076.461473478"
"Agropecuária","Silvicultura","","","1563312.0044760439","1601292.4493247569","1758228.8550831364","2221607.360452451","2402541.8709693113","2565199.7081215335","2892746.6156582832","3032061.9437517566","3144377.059292113","3288822.441401606","3378013.062188844","3453356.8007696476","3548310.5542168436","3601138.193917936","3676686.1496943594","3798163.195607868","3860123.3307512547","3943858.814830859","4031632.9817235083","4168606.4236001847","4377656.320032451","4593032.228851178","4866800.369387592","5190699.466357405","5647526.317105436","6098019.254309791","6468029.837646459","6878033.914425978","7365761.0678862445","7653997.506448584","7873103.929245564","8058439.366287165","8190961.176508173","8296796.7454345375","8516631.102815636","8631818.21804057","8760503.090928406","8818810.39109261","8831190.876979534","8948339.088880388"
